arbitrage_combination,ex1_to_ex2_arb,ex2_to_ex1_arb,no_arb,ex1_to_ex2_arb_train,ex2_to_ex1_arb_train,no_arb_train,ex1_to_ex2_arb_test,ex2_to_ex1_arb_test,no_arb_test,test_size
gemini_cbpro_ltc_btc,0.07,0.06,0.87,0.07,0.06,0.87,597.0,480.0,7093.0,8170.0
cbpro_kraken_xrp_btc,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1295.0,1295.0
cbpro_kraken_ltc_btc,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2489.0,2492.0
kraken_cbpro_bch_btc,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1792.0,1792.0
kraken_cbpro_eos_btc,0.0,0.01,0.99,0.0,0.01,0.99,24.0,31.0,4108.0,4163.0
bitfinex_cbpro_eth_btc,0.02,0.0,0.98,0.02,0.0,0.97,60.0,19.0,65531.0,65610.0
cbpro_bitfinex_bch_btc,0.0,0.04,0.96,0.0,0.04,0.96,6.0,88.0,18369.0,18463.0
bitfinex_hitbtc_bch_btc,0.0,0.01,0.99,0.0,0.01,0.99,25.0,3.0,18435.0,18463.0
cbpro_bitfinex_dash_usd,0.0,0.0,0.99,0.0,0.01,0.99,8.0,0.0,2478.0,2486.0
bitfinex_kraken_eth_btc,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,945.0,945.0
gemini_cbpro_eth_btc,0.01,0.01,0.98,0.01,0.01,0.98,77.0,62.0,6652.0,6791.0
kraken_hitbtc_eos_btc,0.0,0.0,0.99,0.0,0.0,0.99,26.0,27.0,4110.0,4163.0
cbpro_hitbtc_ltc_btc,0.03,0.05,0.92,0.04,0.06,0.9,0.0,10.0,60875.0,60885.0
kraken_bitfinex_eos_btc,0.0,0.0,0.99,0.0,0.0,0.99,30.0,33.0,4100.0,4163.0
kraken_gemini_btc_usd,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1078.0,1078.0
gemini_bitfinex_bch_btc,0.16,0.16,0.68,0.21,0.14,0.65,258.0,510.0,1399.0,2167.0
kraken_cbpro_ltc_usd,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1250.0,1250.0
gemini_bitfinex_ltc_btc,0.07,0.06,0.86,0.07,0.06,0.87,625.0,468.0,7077.0,8170.0
