model_id,csv_name,model_label,params,accuracy,pct_profit_mean,pct_profit_median,FPR,correct_arb_neg1,correct_arb_1,correct_arb,precision_neg1,precision_0,precision_1,recall_neg1,recall_0,recall_1,f1_neg1,f1_0,f1_1,pct_class_1,pct_class_neg1,pct_class_0,bl_accuracy_diff,bl_pct_profit_mean_diff,bl_precision_neg1_diff,bl_precision_0_diff,bl_precision_1_diff,bl_recall_neg1_diff,bl_recall_0_diff,bl_recall_1_diff,ta_feat_accuracy_diff,ta_feat_pct_profit_mean_diff,ta_feat_precision_neg1_diff,ta_feat_precision_0_diff,ta_feat_precision_1_diff,ta_feat_recall_neg1_diff,ta_feat_recall_0_diff,ta_feat_recall_1_diff,hyper_accuracy_diff,hyper_pct_profit_mean_diff,hyper_precision_neg1_diff,hyper_precision_0_diff,hyper_precision_1_diff,hyper_recall_neg1_diff,hyper_recall_0_diff,hyper_recall_1_diff
gemini_hitbtc_ltc_btc_rf,gemini_hitbtc_ltc_btc,rf,{},0.9829865361077113,0.56,0.54,0.01924141749723145,409,537,946,1.0,0.9807585825027686,1.0,0.8538622129436325,1.0,0.8861386138613861,0.9211711711711712,0.9902858340904328,0.9396325459317586,0.07,0.06,0.87,,,,,,,,,0.016893132574366435,0.016893132574366435,0.016893132574366435,0.016893132574366435,0.016893132574366435,0.016893132574366435,0.016893132574366435,0.016893132574366435,,,,,,,,
gemini_hitbtc_ltc_btc_rf_hyper_50_17_100,gemini_hitbtc_ltc_btc,rf_hyper,"{'max_depth': 17, 'max_features': 50, 'n_estimators': 100}",1.0,0.53,0.48,0.0,479,606,1085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.06,0.87,,,,,,,,,,,,,,,,,-0.017307931764412785,-0.017307931764412785,-0.017307931764412785,-0.017307931764412785,-0.017307931764412785,-0.017307931764412785,-0.017307931764412785,-0.017307931764412785
gemini_hitbtc_ltc_btc_rf_bl,gemini_hitbtc_ltc_btc,rf_bl,{},0.9998776009791922,0.53,0.48,inf,478,606,1084,1.0,0.9998588766581992,1.0,0.9979123173277662,1.0,1.0,0.9989550679205852,0.9999294333497988,1.0,0.07,0.06,0.87,-0.15299929428369805,-0.15299929428369805,-0.15299929428369805,-0.15299929428369805,-0.15299929428369805,-0.15299929428369805,-0.15299929428369805,-0.15299929428369805,,,,,,,,,,,,,,,,
gemini_hitbtc_ltc_btc_lr_bl,gemini_hitbtc_ltc_btc,lr_bl,{},0.8671970624235006,,,4.208705179822093,0,0,0,0.0,0.8671970624235006,0.0,0.0,1.0,0.0,0.0,0.9288757784333004,0.0,0.07,0.06,0.87,,,,,,,,,,,,,,,,,,,,,,,,
gemini_hitbtc_bch_btc_lr_bl,gemini_hitbtc_bch_btc,lr_bl,{},0.941881918819188,1.64,1.25,4.095897748077064,417,216,633,0.990498812351544,0.9374584165003328,0.8852459016393442,0.9065217391304348,0.9777931991672448,0.8089887640449438,0.9466515323496028,0.9572010869565216,0.8454011741682974,0.16,0.14,0.69,,,,,,,,,,,,,,,,,,,,,,,,
gemini_hitbtc_bch_btc_rf,gemini_hitbtc_bch_btc,rf,{},0.8856088560885609,1.52,1.29,0.14683244523386618,395,84,479,1.0,0.8531675547661338,1.0,0.8586956521739131,1.0,0.3146067415730337,0.9239766081871346,0.9207667731629392,0.4786324786324786,0.16,0.14,0.69,,,,,,,,,0.11316397228637413,0.11316397228637413,0.11316397228637413,0.11316397228637413,0.11316397228637413,0.11316397228637413,0.11316397228637413,0.11316397228637413,,,,,,,,
gemini_hitbtc_bch_btc_rf_hyper_50_17_150,gemini_hitbtc_bch_btc,rf_hyper,"{'max_depth': 17, 'max_features': 50, 'n_estimators': 150}",1.0,1.46,1.13,0.0,460,267,727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16,0.14,0.69,,,,,,,,,,,,,,,,,-0.12916666666666668,-0.12916666666666668,-0.12916666666666668,-0.12916666666666668,-0.12916666666666668,-0.12916666666666668,-0.12916666666666668,-0.12916666666666668
gemini_hitbtc_bch_btc_rf_bl,gemini_hitbtc_bch_btc,rf_bl,{},0.9986162361623616,1.46,1.13,4.502081887578071,458,266,724,1.0,0.9979224376731302,1.0,0.9956521739130436,1.0,0.99625468164794,0.9978213507625272,0.9989601386481802,0.99812382739212,0.16,0.14,0.69,-0.060235063663075586,-0.060235063663075586,-0.060235063663075586,-0.060235063663075586,-0.060235063663075586,-0.060235063663075586,-0.060235063663075586,-0.060235063663075586,,,,,,,,,,,,,,,,
gemini_cbpro_ltc_btc_rf,gemini_cbpro_ltc_btc,rf,{},0.9878824969400244,0.57,0.54,0.013765294771968854,444,534,978,1.0,0.9862347052280312,1.0,0.925,1.0,0.8944723618090452,0.9610389610389608,0.9930696534826742,0.9442970822281168,0.07,0.06,0.87,,,,,,,,,0.01211750305997561,0.01211750305997561,0.01211750305997561,0.01211750305997561,0.01211750305997561,0.01211750305997561,0.01211750305997561,0.01211750305997561,,,,,,,,
gemini_cbpro_ltc_btc_lr_bl,gemini_cbpro_ltc_btc,lr_bl,{},0.8906976744186047,0.57,0.4,4.117664794312061,64,190,254,0.5079365079365079,0.8951057863879683,0.9595959595959596,0.13333333333333333,0.9901311151839842,0.31825795644891125,0.2112211221122112,0.940223575875226,0.4779874213836479,0.07,0.06,0.87,,,,,,,,,,,,,,,,,,,,,,,,
gemini_cbpro_ltc_btc_rf_hyper_50_17_100,gemini_cbpro_ltc_btc,rf_hyper,"{'max_depth': 17, 'max_features': 50, 'n_estimators': 100}",1.0,0.53,0.5,0.0,480,597,1077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.06,0.87,,,,,,,,,,,,,,,,,-0.012266138025027969,-0.012266138025027969,-0.012266138025027969,-0.012266138025027969,-0.012266138025027969,-0.012266138025027969,-0.012266138025027969,-0.012266138025027969
gemini_cbpro_ltc_btc_rf_bl,gemini_cbpro_ltc_btc,rf_bl,{},1.0,0.53,0.5,0.0,480,597,1077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.06,0.87,-0.12271540469973884,-0.12271540469973884,-0.12271540469973884,-0.12271540469973884,-0.12271540469973884,-0.12271540469973884,-0.12271540469973884,-0.12271540469973884,,,,,,,,,,,,,,,,
gemini_bitfinex_ltc_btc_lr_bl,gemini_bitfinex_ltc_btc,lr_bl,{},0.9553243574051408,0.68,0.68,4.8011298935544025,213,515,728,1.0,0.9509540446116636,1.0,0.4551282051282051,1.0,0.8240000000000001,0.6255506607929515,0.9748605275845444,0.9035087719298246,0.07,0.06,0.86,,,,,,,,,,,,,,,,,,,,,,,,
gemini_bitfinex_ltc_btc_rf,gemini_bitfinex_ltc_btc,rf,{},0.9757649938800492,0.54,0.51,0.027216494845360824,359,536,895,1.0,0.9727835051546392,1.0,0.7670940170940171,1.0,0.8576,0.8681983071342202,0.9862040133779264,0.9233419465977604,0.07,0.06,0.86,,,,,,,,,0.024115558819928773,0.024115558819928773,0.024115558819928773,0.024115558819928773,0.024115558819928773,0.024115558819928773,0.024115558819928773,0.024115558819928773,,,,,,,,
