,open,high,low,close,base_volume,nan_ohlcv,volume_adi,volume_obv,volume_cmf,volume_fi,momentum_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dchi,volatility_dcli,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,others_dr,others_dlr,others_cr,closing_time
0,0.066749,0.066749,0.066749,0.066749,1.92392798,0.0,0.0,1.92392798,0.0,0.0,50.0,0.0,0.0,0.6368829630522728,1000.0,0.066749,0.0,0.066749,0.066749,0.066749,0.0,0.0,0.0,0.0,0.066749,0.066749,0.066749,0.0,0.0,0.0,0.0,0.066749,0.066749,1.0,1.0,0.0,0.0,0.0,0.066749,0.066749,0.066749,0.066749,0.0,0.0,0.0,1.0,1.0,0.0,31.66835154177011,0.0,0.0,-0.01639887149187593,325.69671573390224,325.69671573390224,0.0,0.066749,0.066749,0.05036244682422452,0.0503056646971935,4.0,4.0,0.0,0.066749,-1.0,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,0.0,0.066749,0.0,32.56967157339021,0.0,0.0,2018-11-13 11:55:00
1,0.066749,0.066749,0.066749,0.066749,0.0,1.0,0.0,1.92392798,0.0,0.0,50.0,0.0,0.0,0.6266170243945607,1000.0,0.066749,0.0,0.066749,0.066749,0.066749,0.0,0.0,0.0,0.0,0.066749,0.066749,0.066749,0.0,0.0,0.0,0.0,0.066749,0.066749,1.0,1.0,0.0,0.0,0.0,0.066749,0.066749,0.066749,0.066749,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.01639887149187593,325.69671573390224,325.69671573390224,0.0,0.066749,0.066749,0.05036244682422452,0.0503056646971935,4.0,4.0,0.0,0.066749,-1.0,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,0.0,0.066749,0.0,0.0,0.0,0.0,2018-11-13 12:00:00
2,0.066749,0.066749,0.066749,0.066749,0.0,1.0,0.0,1.92392798,0.0,0.0,50.0,0.0,0.0,0.0,1000.0,0.066749,0.0,0.066749,0.066749,0.066749,0.0,0.0,0.0,0.0,0.066749,0.066749,0.066749,0.0,0.0,0.0,0.0,0.066749,0.066749,1.0,1.0,0.0,0.0,0.0,0.066749,0.066749,0.066749,0.066749,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.01639887149187593,325.69671573390224,325.69671573390224,0.0,0.066749,0.066749,0.05036244682422452,0.0503056646971935,4.0,4.0,0.0,0.066749,0.066749,-1.0,1.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,0.0,0.066749,0.0,0.0,0.0,0.0,2018-11-13 12:05:00
3,0.066749,0.066749,0.066749,0.066749,0.0,1.0,0.0,1.92392798,0.0,0.0,50.0,0.0,0.0,0.0,1000.0,0.066749,0.0,0.066749,0.066749,0.066749,0.0,0.0,0.0,0.0,0.066749,0.066749,0.066749,0.0,0.0,0.0,0.0,0.066749,0.066749,1.0,1.0,0.0,0.0,0.0,0.066749,0.066749,0.066749,0.066749,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.01639887149187593,325.69671573390224,325.69671573390224,0.0,0.066749,0.066749,0.05036244682422452,0.0503056646971935,4.0,4.0,0.0,0.066749,0.066749,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,0.0,0.066749,0.0,0.0,0.0,0.0,2018-11-13 12:10:00
4,0.066749,0.066749,0.066749,0.066749,0.0,1.0,0.0,1.92392798,0.0,0.0,50.0,0.0,0.0,0.0,1000.0,0.066749,0.0,0.066749,0.066749,0.066749,0.0,0.0,0.0,0.0,0.066749,0.066749,0.066749,0.0,0.0,0.0,0.0,0.066749,0.066749,1.0,1.0,0.0,0.0,0.0,0.066749,0.066749,0.066749,0.066749,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.01639887149187593,325.69671573390224,325.69671573390224,0.0,0.066749,0.066749,0.05036244682422452,0.0503056646971935,4.0,4.0,0.0,0.066749,0.066749,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,0.0,0.066749,0.0,0.0,0.0,0.0,2018-11-13 12:15:00
5,0.066749,0.066749,0.066749,0.066749,0.0,1.0,0.0,1.92392798,0.0,0.0,50.0,0.0,0.0,0.0,1000.0,0.066749,0.0,0.066749,0.066749,0.066749,0.0,0.0,0.0,0.0,0.066749,0.066749,0.066749,0.0,0.0,0.0,0.0,0.066749,0.066749,1.0,1.0,0.0,0.0,0.0,0.066749,0.066749,0.066749,0.066749,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.01639887149187593,325.69671573390224,325.69671573390224,0.0,0.066749,0.066749,0.05036244682422452,0.0503056646971935,4.0,4.0,0.0,0.066749,0.066749,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,0.0,0.066749,0.0,0.0,0.0,0.0,2018-11-13 12:20:00
6,0.066749,0.066749,0.066749,0.066749,0.0,1.0,0.0,1.92392798,0.0,0.0,50.0,0.0,0.0,0.0,1000.0,0.066749,0.0,0.066749,0.066749,0.066749,0.0,0.0,0.0,0.0,0.066749,0.066749,0.066749,0.0,0.0,0.0,0.0,0.066749,0.066749,1.0,1.0,0.0,0.0,0.0,0.066749,0.066749,0.066749,0.066749,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.01639887149187593,325.69671573390224,325.69671573390224,0.0,0.066749,0.066749,0.05036244682422452,0.0503056646971935,4.0,4.0,0.0,0.066749,0.066749,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,0.0,0.066749,0.0,0.0,0.0,0.0,2018-11-13 12:25:00
7,0.066749,0.066749,0.066749,0.066749,0.0,1.0,0.0,1.92392798,0.0,0.0,50.0,0.0,0.0,0.0,1000.0,0.066749,0.0,0.066749,0.066749,0.066749,0.0,0.0,0.0,0.0,0.066749,0.066749,0.066749,0.0,0.0,0.0,0.0,0.066749,0.066749,1.0,1.0,0.0,0.0,0.0,0.066749,0.066749,0.066749,0.066749,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.01639887149187593,325.69671573390224,325.69671573390224,0.0,0.066749,0.066749,0.05036244682422452,0.0503056646971935,4.0,4.0,0.0,0.066749,0.066749,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,0.0,0.066749,0.0,0.0,0.0,0.0,2018-11-13 12:30:00
8,0.065,0.065,0.065,0.065,0.1,0.0,0.0,1.82392798,0.0,-2.4985714285714295e-05,50.0,-0.0,0.0,-0.0026202639739921207,1000.0,0.06666258388157667,0.0,0.06655466666666666,0.06765398200915135,0.06545535132418198,3.3034959005670017,-0.20710678118654752,0.0,1.0,0.06655466666666666,0.06655466666666666,0.06655466666666666,0.0,0.0,0.0,1.0,0.065,0.066749,0.0,1.0,-0.000139521367521378,-2.7904273504275603e-05,-0.0001116170940171024,0.06655466666666666,0.06655466666666666,0.06647992307692308,0.06661944444444445,0.0,0.0,0.0,1.0,1.0,0.0,-0.005117703074214406,0.0,-299.999999999996,-0.016204538158542593,321.8370764620386,325.26786692591736,-3.4307904638787363,0.0658745,0.0658745,0.05036244682422452,0.0503056646971935,4.0,36.0,-32.0,0.066749,0.066749,0.066749,0.0,1.0,0.0,-100.0,50.0,0.0,0.0,-100.0,-0.00015546666666665931,0.065,0.0,-2.6202639739921207,-2.655204599909311,-2.6202639739921207,2018-11-13 12:35:00
9,0.065,0.065,0.065,0.065,0.0,1.0,0.0,1.82392798,0.0,-2.1416326530612255e-05,50.0,-0.0,0.0,-0.0026202639739921207,1000.0,0.06666258388157667,0.00017490000000000005,0.06639919999999999,0.0677984,0.06499999999999999,4.214508608537463,4.959186609424823e-15,0.0,0.0,0.06639919999999999,0.06639919999999999,0.06639919999999999,0.0,0.0,0.0,1.0,0.065,0.066749,0.0,1.0,-0.00024724299315753706,-7.17720174349279e-05,-0.00017547097572260915,0.06639919999999999,0.06639919999999999,0.0662522426035503,0.06649948559670783,0.0,0.0,0.0,1.0,1.0,0.0,-0.013434658115708618,0.0,-166.66666666666336,-0.01604907149187592,318.7493650445478,324.4959390715446,-5.746574026996825,0.0658745,0.0658745,0.05036244682422452,0.0503056646971935,4.0,36.0,-32.0,0.066749,0.066749,0.066749,0.0,0.0,0.0,-100.0,50.0,0.0,0.0,-100.0,-0.00034979999999998346,0.065,0.0,0.0,0.0,-2.6202639739921207,2018-11-13 12:40:00
